都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
沖縄県,13,16000000,70,住宅,60.0,200.0,2007年第１四半期
沖縄県,13,17000000,230,住宅,50.0,100.0,2007年第２四半期
沖縄県,7,6700000,50,住宅,80.0,400.0,2007年第２四半期
沖縄県,6,10000000,45,住宅,60.0,200.0,2007年第２四半期
沖縄県,7,55000000,185,住宅,50.0,100.0,2007年第２四半期
沖縄県,9,3800000,20,住宅,80.0,400.0,2007年第２四半期
沖縄県,13,14000000,65,住宅,50.0,100.0,2007年第２四半期
沖縄県,9,14000000,95,住宅,80.0,400.0,2007年第２四半期
沖縄県,13,11000000,80,住宅,80.0,300.0,2007年第２四半期
沖縄県,26,11000000,65,住宅,60.0,200.0,2007年第２四半期
沖縄県,4,17000000,55,住宅,50.0,100.0,2007年第２四半期
沖縄県,26,19000000,70,住宅,60.0,200.0,2007年第２四半期
沖縄県,6,100000000,290,住宅、事務所、倉庫,60.0,200.0,2007年第２四半期
沖縄県,15,15000000,70,住宅,60.0,200.0,2007年第２四半期
沖縄県,5,31000000,90,住宅,80.0,300.0,2007年第２四半期
沖縄県,9,82000000,160,住宅、事務所,80.0,400.0,2007年第２四半期
沖縄県,6,5800000,50,住宅,80.0,400.0,2007年第２四半期
沖縄県,8,60000000,125,住宅、共同住宅、店舗,60.0,200.0,2007年第２四半期
沖縄県,7,88000000,310,住宅,60.0,200.0,2007年第２四半期
沖縄県,3,7000000,100,住宅,80.0,400.0,2007年第２四半期
沖縄県,4,10000000,40,住宅,80.0,600.0,2007年第２四半期
沖縄県,3,100000000,195,共同住宅,80.0,400.0,2007年第２四半期
沖縄県,25,6900000,50,住宅,60.0,200.0,2007年第３四半期
沖縄県,8,12000000,60,住宅,80.0,400.0,2007年第３四半期
沖縄県,15,36000000,75,住宅,60.0,200.0,2007年第３四半期
沖縄県,4,15000000,65,住宅,80.0,200.0,2007年第３四半期
沖縄県,10,25000000,135,住宅,50.0,100.0,2007年第３四半期
沖縄県,13,22000000,85,住宅,80.0,400.0,2007年第３四半期
沖縄県,28,17000000,155,住宅,50.0,100.0,2007年第３四半期
沖縄県,5,34000000,280,住宅,40.0,80.0,2007年第３四半期
沖縄県,8,9800000,85,住宅,80.0,400.0,2007年第３四半期
沖縄県,8,6000000,70,住宅,60.0,200.0,2007年第３四半期
沖縄県,11,14000000,60,住宅,80.0,400.0,2007年第３四半期
沖縄県,3,71000000,175,共同住宅、店舗,80.0,400.0,2007年第３四半期
沖縄県,7,11000000,65,住宅,80.0,300.0,2007年第３四半期
沖縄県,12,11000000,70,住宅,60.0,200.0,2007年第３四半期
沖縄県,8,11000000,60,住宅,80.0,600.0,2007年第３四半期
沖縄県,7,11000000,60,住宅,60.0,200.0,2007年第３四半期
沖縄県,3,39000000,210,住宅、店舗,60.0,200.0,2007年第４四半期
沖縄県,9,39000000,500,住宅,60.0,200.0,2007年第４四半期
沖縄県,13,18000000,150,住宅,50.0,100.0,2007年第４四半期
沖縄県,10,7000000,50,住宅,50.0,100.0,2007年第４四半期
沖縄県,4,850000000,860,住宅、倉庫、店舗,80.0,500.0,2007年第４四半期
沖縄県,5,39000000,95,住宅,80.0,300.0,2007年第４四半期
沖縄県,14,30000000,80,住宅,80.0,300.0,2007年第４四半期
沖縄県,4,210000000,990,住宅,60.0,200.0,2007年第４四半期
沖縄県,14,17000000,165,住宅,60.0,200.0,2007年第４四半期
沖縄県,4,63000000,145,住宅、事務所、店舗,80.0,400.0,2007年第４四半期
沖縄県,8,6000000,45,住宅,50.0,100.0,2007年第４四半期
沖縄県,2,73000000,130,住宅、店舗,80.0,400.0,2007年第４四半期
沖縄県,11,20000000,125,住宅,50.0,100.0,2007年第４四半期
沖縄県,11,19000000,90,住宅,60.0,200.0,2007年第４四半期
沖縄県,5,14000000,65,住宅,60.0,200.0,2007年第４四半期
沖縄県,8,17000000,70,住宅,80.0,400.0,2007年第４四半期
沖縄県,6,66000000,65,住宅、店舗,80.0,400.0,2007年第４四半期
沖縄県,28,5500000,40,住宅,80.0,400.0,2007年第４四半期
沖縄県,20,40000000,145,共同住宅,60.0,200.0,2008年第１四半期
沖縄県,6,45000000,160,共同住宅、店舗,80.0,400.0,2008年第１四半期
沖縄県,3,26000000,95,住宅,50.0,100.0,2008年第１四半期
沖縄県,9,18000000,170,住宅,60.0,200.0,2008年第１四半期
沖縄県,7,77000000,200,共同住宅,60.0,200.0,2008年第１四半期
沖縄県,12,14000000,60,住宅,80.0,400.0,2008年第１四半期
沖縄県,2,25000000,140,住宅,80.0,400.0,2008年第１四半期
沖縄県,7,26000000,220,住宅、店舗,80.0,200.0,2008年第１四半期
沖縄県,10,28000000,140,住宅,60.0,200.0,2008年第１四半期
沖縄県,18,35000000,160,共同住宅,60.0,200.0,2008年第１四半期
沖縄県,7,22000000,95,住宅,60.0,200.0,2008年第１四半期
沖縄県,3,28000000,230,住宅,80.0,400.0,2008年第１四半期
沖縄県,7,24000000,85,住宅,60.0,200.0,2008年第１四半期
沖縄県,6,38000000,75,住宅,60.0,200.0,2008年第１四半期
沖縄県,7,5000000,45,住宅,60.0,200.0,2008年第１四半期
沖縄県,10,25000000,75,住宅,80.0,400.0,2008年第１四半期
沖縄県,16,6500000,65,住宅,60.0,200.0,2008年第１四半期
沖縄県,13,19000000,60,住宅,80.0,400.0,2008年第２四半期
沖縄県,13,28000000,70,住宅,60.0,200.0,2008年第２四半期
沖縄県,23,19000000,75,住宅,60.0,200.0,2008年第２四半期
沖縄県,8,10000000,65,住宅,80.0,400.0,2008年第２四半期
沖縄県,5,14000000,65,住宅,80.0,400.0,2008年第２四半期
沖縄県,11,20000000,210,住宅,60.0,200.0,2008年第２四半期
沖縄県,13,5800000,45,住宅,60.0,200.0,2008年第２四半期
